"entrez_symbol","driver_mechanism","label","refresh_date","source"
"U2AF1","GoF","U2AF1 GoF","04 April 2023","Intogen"
"U2AF2","GoF","U2AF2 GoF","04 April 2023","Intogen"
"UBE2A","LoF","UBE2A LoF","04 April 2023","Intogen"
"UBE2D2","GoF","UBE2D2 GoF","04 April 2023","Intogen"
"UGT2B17","GoF","UGT2B17 GoF","04 April 2023","Intogen"
"USP44","LoF","USP44 LoF","04 April 2023","Intogen"
"USP6","GoF","USP6 GoF","04 April 2023","Intogen"
"USP9X","LoF","USP9X LoF","04 April 2023","Intogen"
"VAV1","GoF","VAV1 GoF","04 April 2023","Intogen"
"VHL","LoF","VHL LoF","04 April 2023","Intogen"
"WAS","LoF","WAS LoF","04 April 2023","Intogen"
"WDR45","LoF","WDR45 LoF","04 April 2023","Intogen"
"WRN","LoF","WRN LoF","04 April 2023","Intogen"
"WT1","LoF","WT1 LoF","04 April 2023","Intogen"
"XPC","LoF","XPC LoF","04 April 2023","Intogen"
"XPO1","GoF","XPO1 GoF","04 April 2023","Intogen"
"ZBTB20","GoF","ZBTB20 GoF","04 April 2023","Intogen"
"ZBTB7B","GoF","ZBTB7B GoF","04 April 2023","Intogen"
"ZCRB1","LoF","ZCRB1 LoF","04 April 2023","Intogen"
"ZEB1","LoF","ZEB1 LoF","04 April 2023","Intogen"
"ZFHX3","LoF","ZFHX3 LoF","04 April 2023","Intogen"
"ZFP36L1","LoF","ZFP36L1 LoF","04 April 2023","Intogen"
"ZFX","LoF","ZFX LoF","04 April 2023","Intogen"
"ZNF148","GoF","ZNF148 GoF","04 April 2023","Intogen"
"ZNF165","LoF","ZNF165 LoF","04 April 2023","Intogen"
"ZNF429","LoF","ZNF429 LoF","04 April 2023","Intogen"
"ZNF521","GoF","ZNF521 GoF","04 April 2023","Intogen"
"ZNF780A","GoF","ZNF780A GoF","04 April 2023","Intogen"
"ZNF814","GoF","ZNF814 GoF","04 April 2023","Intogen"
"ZNF93","LoF","ZNF93 LoF","04 April 2023","Intogen"
"ZNRF3","LoF","ZNRF3 LoF","04 April 2023","Intogen"
"ZRSR2","LoF","ZRSR2 LoF","04 April 2023","Intogen"
"ZXDB","LoF","ZXDB LoF","04 April 2023","Intogen"
