"entrez_symbol","driver_mechanism","label","refresh_date","source"
"CYLD","LoF","CYLD LoF","04 April 2023","Intogen"
"CYP2C8","LoF","CYP2C8 LoF","04 April 2023","Intogen"
"CYSLTR2","GoF","CYSLTR2 GoF","04 April 2023","Intogen"
"DAXX","LoF","DAXX LoF","04 April 2023","Intogen"
"DAZAP1","LoF","DAZAP1 LoF","04 April 2023","Intogen"
"DCAF12L2","GoF","DCAF12L2 GoF","04 April 2023","Intogen"
"DCC","LoF","DCC LoF","04 April 2023","Intogen"
"DCSTAMP","GoF","DCSTAMP GoF","04 April 2023","Intogen"
"DDB2","LoF","DDB2 LoF","04 April 2023","Intogen"
"DDX3X","LoF","DDX3X LoF","04 April 2023","Intogen"
"DGCR8","LoF","DGCR8 LoF","04 April 2023","Intogen"
"DHX9","GoF","DHX9 GoF","04 April 2023","Intogen"
"DICER1","LoF","DICER1 LoF","04 April 2023","Intogen"
"DIS3","LoF","DIS3 LoF","04 April 2023","Intogen"
"DNAJB1","LoF","DNAJB1 LoF","04 April 2023","Intogen"
"DNMT3A","LoF","DNMT3A LoF","04 April 2023","Intogen"
"DOT1L","LoF","DOT1L LoF","04 April 2023","Intogen"
"DROSHA","LoF","DROSHA LoF","04 April 2023","Intogen"
"DUSP16","LoF","DUSP16 LoF","04 April 2023","Intogen"
"EGFR","GoF","EGFR GoF","04 April 2023","Intogen"
"EIF1AX","LoF","EIF1AX LoF","04 April 2023","Intogen"
"EIF3E","GoF","EIF3E GoF","04 April 2023","Intogen"
"ELF3","LoF","ELF3 LoF","04 April 2023","Intogen"
"ELF4","GoF","ELF4 GoF","04 April 2023","Intogen"
"EP300","LoF","EP300 LoF","04 April 2023","Intogen"
"EPAS1","GoF","EPAS1 GoF","04 April 2023","Intogen"
"EPHA2","LoF","EPHA2 LoF","04 April 2023","Intogen"
"EPS15","GoF","EPS15 GoF","04 April 2023","Intogen"
"ERBB2","GoF","ERBB2 GoF","04 April 2023","Intogen"
"ERBB3","GoF","ERBB3 GoF","04 April 2023","Intogen"
"ERBB4","LoF","ERBB4 LoF","04 April 2023","Intogen"
"ERCC2","LoF","ERCC2 LoF","04 April 2023","Intogen"
"ERCC3","LoF","ERCC3 LoF","04 April 2023","Intogen"
"ERG","GoF","ERG GoF","04 April 2023","Intogen"
"ESR1","GoF","ESR1 GoF","04 April 2023","Intogen"
"ESRRA","GoF","ESRRA GoF","04 April 2023","Intogen"
"ETV4","LoF","ETV4 LoF","04 April 2023","Intogen"
"ETV5","GoF","ETV5 GoF","04 April 2023","Intogen"
"ETV6","GoF","ETV6 GoF","04 April 2023","Intogen"
"EWSR1","GoF","EWSR1 GoF","04 April 2023","Intogen"
"EXT2","LoF","EXT2 LoF","04 April 2023","Intogen"
"EZH2","LoF","EZH2 LoF","04 April 2023","Intogen"
"FAM135B","GoF","FAM135B GoF","04 April 2023","Intogen"
"FAM46C","LoF","FAM46C LoF","04 April 2023","Intogen"
"FANCA","LoF","FANCA LoF","04 April 2023","Intogen"
"FANCC","LoF","FANCC LoF","04 April 2023","Intogen"
"FANCD2","LoF","FANCD2 LoF","04 April 2023","Intogen"
"FANCF","LoF","FANCF LoF","04 April 2023","Intogen"
"FAS","LoF","FAS LoF","04 April 2023","Intogen"
"FAT1","LoF","FAT1 LoF","04 April 2023","Intogen"
"FAT2","GoF","FAT2 GoF","04 April 2023","Intogen"
"FAT4","LoF","FAT4 LoF","04 April 2023","Intogen"
"FBLN1","GoF","FBLN1 GoF","04 April 2023","Intogen"
"FBXO11","LoF","FBXO11 LoF","04 April 2023","Intogen"
"FBXW7","LoF","FBXW7 LoF","04 April 2023","Intogen"
"FGD5","GoF","FGD5 GoF","04 April 2023","Intogen"
"FGFR1","GoF","FGFR1 GoF","04 April 2023","Intogen"
"FGFR2","GoF","FGFR2 GoF","04 April 2023","Intogen"
"FGFR3","GoF","FGFR3 GoF","04 April 2023","Intogen"
"FGFR4","GoF","FGFR4 GoF","04 April 2023","Intogen"
"FH","LoF","FH LoF","04 April 2023","Intogen"
"FLCN","LoF","FLCN LoF","04 April 2023","Intogen"
"FLT3","GoF","FLT3 GoF","04 April 2023","Intogen"
"FN1","LoF","FN1 LoF","04 April 2023","Intogen"
"FOXA1","LoF","FOXA1 LoF","04 April 2023","Intogen"
"FOXA2","LoF","FOXA2 LoF","04 April 2023","Intogen"
"FOXD4L1","LoF","FOXD4L1 LoF","04 April 2023","Intogen"
"FOXL2","GoF","FOXL2 GoF","04 April 2023","Intogen"
"FOXO1","GoF","FOXO1 GoF","04 April 2023","Intogen"
"FOXP1","GoF","FOXP1 GoF","04 April 2023","Intogen"
"FUBP1","LoF","FUBP1 LoF","04 April 2023","Intogen"
"GATA1","GoF","GATA1 GoF","04 April 2023","Intogen"
"GATA2","GoF","GATA2 GoF","04 April 2023","Intogen"
"GATA3","LoF","GATA3 LoF","04 April 2023","Intogen"
"GLI1","GoF","GLI1 GoF","04 April 2023","Intogen"
"GMPS","LoF","GMPS LoF","04 April 2023","Intogen"
"GNA11","GoF","GNA11 GoF","04 April 2023","Intogen"
"GNA13","LoF","GNA13 LoF","04 April 2023","Intogen"
"GNAQ","GoF","GNAQ GoF","04 April 2023","Intogen"
"GNAS","GoF","GNAS GoF","04 April 2023","Intogen"
"GRIN2A","GoF","GRIN2A GoF","04 April 2023","Intogen"
"GTF2I","GoF","GTF2I GoF","04 April 2023","Intogen"
"H3F3A","GoF","H3F3A GoF","04 April 2023","Intogen"
"HGF","GoF","HGF GoF","04 April 2023","Intogen"
"HIP1","GoF","HIP1 GoF","04 April 2023","Intogen"
"HIST1H3B","GoF","HIST1H3B GoF","04 April 2023","Intogen"
"HIST1H4I","GoF","HIST1H4I GoF","04 April 2023","Intogen"
"HNF1A","LoF","HNF1A LoF","04 April 2023","Intogen"
"HNRNPA2B1","GoF","HNRNPA2B1 GoF","04 April 2023","Intogen"
"HOXC13","GoF","HOXC13 GoF","04 April 2023","Intogen"
"HOXD13","LoF","HOXD13 LoF","04 April 2023","Intogen"
"HRAS","GoF","HRAS GoF","04 April 2023","Intogen"
"HSP90AA1","GoF","HSP90AA1 GoF","04 April 2023","Intogen"
"HSP90AB1","GoF","HSP90AB1 GoF","04 April 2023","Intogen"
"HTRA2","LoF","HTRA2 LoF","04 April 2023","Intogen"
"ID3","LoF","ID3 LoF","04 April 2023","Intogen"
"IDH1","GoF","IDH1 GoF","04 April 2023","Intogen"
"IDH2","GoF","IDH2 GoF","04 April 2023","Intogen"
"IFNAR1","LoF","IFNAR1 LoF","04 April 2023","Intogen"
"IFNGR1","LoF","IFNGR1 LoF","04 April 2023","Intogen"
"IL6ST","GoF","IL6ST GoF","04 April 2023","Intogen"
"IL7R","GoF","IL7R GoF","04 April 2023","Intogen"
"ING1","LoF","ING1 LoF","04 April 2023","Intogen"
"IRAK1","LoF","IRAK1 LoF","04 April 2023","Intogen"
"IRF1","LoF","IRF1 LoF","04 April 2023","Intogen"
"IRS4","LoF","IRS4 LoF","04 April 2023","Intogen"
"JAK3","GoF","JAK3 GoF","04 April 2023","Intogen"
"KAT6B","GoF","KAT6B GoF","04 April 2023","Intogen"
"KDM5A","GoF","KDM5A GoF","04 April 2023","Intogen"
"KDM5C","LoF","KDM5C LoF","04 April 2023","Intogen"
"KDM6A","LoF","KDM6A LoF","04 April 2023","Intogen"
"KDR","GoF","KDR GoF","04 April 2023","Intogen"
"KEAP1","GoF","KEAP1 GoF","04 April 2023","Intogen"
"KEL","GoF","KEL GoF","04 April 2023","Intogen"
"KIF5B","GoF","KIF5B GoF","04 April 2023","Intogen"
"KIFC1","GoF","KIFC1 GoF","04 April 2023","Intogen"
"KIT","GoF","KIT GoF","04 April 2023","Intogen"
"KLF4","GoF","KLF4 GoF","04 April 2023","Intogen"
"KLHL6","LoF","KLHL6 LoF","04 April 2023","Intogen"
"KMT2A","LoF","KMT2A LoF","04 April 2023","Intogen"
"KMT2B","LoF","KMT2B LoF","04 April 2023","Intogen"
"KMT2C","LoF","KMT2C LoF","04 April 2023","Intogen"
"KMT2D","LoF","KMT2D LoF","04 April 2023","Intogen"
"KRAS","GoF","KRAS GoF","04 April 2023","Intogen"
"LATS1","LoF","LATS1 LoF","04 April 2023","Intogen"
"LATS2","LoF","LATS2 LoF","04 April 2023","Intogen"
"LDB1","GoF","LDB1 GoF","04 April 2023","Intogen"
"LIFR","GoF","LIFR GoF","04 April 2023","Intogen"
"LOX","LoF","LOX LoF","04 April 2023","Intogen"
"LPAR4","LoF","LPAR4 LoF","04 April 2023","Intogen"
"LPP","GoF","LPP GoF","04 April 2023","Intogen"
"LRP1B","LoF","LRP1B LoF","04 April 2023","Intogen"
"LTB","GoF","LTB GoF","04 April 2023","Intogen"
"LY75-CD302","GoF","LY75-CD302 GoF","04 April 2023","Intogen"
"LZTR1","LoF","LZTR1 LoF","04 April 2023","Intogen"
"MAF","LoF","MAF LoF","04 April 2023","Intogen"
"MALT1","LoF","MALT1 LoF","04 April 2023","Intogen"
"MAML2","LoF","MAML2 LoF","04 April 2023","Intogen"
"MAP2K1","GoF","MAP2K1 GoF","04 April 2023","Intogen"
"MAP2K4","LoF","MAP2K4 LoF","04 April 2023","Intogen"
